# t (s)	mx ()	my ()	mz ()
0	0.9972527	3.5802599e-09	1.1469723e-10
1.0002858080021541e-11	0.99725246	-0.00018613135	0.00023039675
2.001901091127361e-11	0.9972517	7.619608e-05	-0.0008433977
3.0024364699573375e-11	0.9972471	0.002471433	-0.0016325625
4.000004516193138e-11	0.99724144	0.00441043	-0.0007157607
5.0003416732688575e-11	0.99723935	0.004971297	-1.8515848e-06
6.000040559806484e-11	0.9972426	0.004163035	0.0008860628
7.002409825067537e-11	0.99724805	0.002278459	0.001296
8.001461966667515e-11	0.9972508	-3.5015022e-05	0.0014580522
9.002426556541866e-11	0.9972487	-0.0021396326	0.0011296336
1.0001030485486355e-10	0.9972437	-0.0035456044	0.0006653493
1.1001497213977799e-10	0.9972404	-0.004035204	1.4794712e-05
1.2002771390937498e-10	0.99724245	-0.003591803	-0.00051579747
1.3000060370348023e-10	0.99724823	-0.002384378	-0.0009753872
1.4001435945340743e-10	0.9972521	-0.00068396004	-0.0011575704
1.5000369657441284e-10	0.99725026	0.0011647322	-0.0011579742
1.6000318201836802e-10	0.99724495	0.0028011836	-0.00084947096
1.7000674412821356e-10	0.99724126	0.003841075	-0.0003684711
1.8001947383554534e-10	0.9972425	0.003961214	0.00029117835
1.9002003958125303e-10	0.9972473	0.0030430926	0.0008752736
2.000190898094733e-10	0.99725133	0.001255361	0.0013007454
2.1002567973167017e-10	0.99725133	-0.0009615067	0.0013415697
2.2001553522638043e-10	0.997247	-0.0029804579	0.0010273249
2.300224889192609e-10	0.9972424	-0.0041798353	0.00036324668
2.4001629272062385e-10	0.9972422	-0.004168643	-0.0003789036
2.500089411919252e-10	0.9972467	-0.0029622223	-0.0010312439
2.6001179656010813e-10	0.99725115	-0.0009448619	-0.0013342326
2.7001178978246137e-10	0.99725145	0.0012599893	-0.0012669093
2.8002262006862556e-10	0.997248	0.002998476	-0.00081882434
2.900105060964025e-10	0.9972445	0.0038014953	-0.00020776759
3.000029053193915e-10	0.997244	0.0035513402	0.00042687607
3.1000974112074037e-10	0.9972466	0.0024276432	0.0008686599
3.2000145416942216e-10	0.9972501	0.0008064413	0.0010797303
3.3000561665059873e-10	0.99725145	-0.00088111655	0.0009991184
3.4001490924413337e-10	0.9972494	-0.0022463934	0.0007247292
3.500120241843317e-10	0.99724615	-0.0030389712	0.00029627865
3.60018811918881e-10	0.99724513	-0.0031461269	-0.00015475956
3.700221372640869e-10	0.99724734	-0.0025594044	-0.0005929294
3.8000444854121586e-10	0.9972502	-0.0013804124	-0.0008938755
3.9002501610977035e-10	0.99725085	0.00017043026	-0.0010228322
4.000259950000867e-10	0.9972492	0.0017462298	-0.0008903069
4.100079500149993e-10	0.9972469	0.0029536132	-0.00053731806
4.200276772321125e-10	0.99724615	0.0034385698	9.306509e-06
4.3002456265653585e-10	0.9972477	0.002992246	0.00056944793
4.400191028955032e-10	0.9972501	0.0016847325	0.0010063895
4.5002766010991216e-10	0.9972511	-0.0001322661	0.0011452981
4.600267093491664e-10	0.99724936	-0.0019238734	0.00096525275
4.700148355708865e-10	0.9972468	-0.0031556822	0.00048647617
4.800028515719811e-10	0.9972463	-0.003462672	-0.00011033398
4.900041988568004e-10	0.99724835	-0.002775357	-0.00066684873
5.000192182805396e-10	0.997251	-0.0013486424	-0.0009894165
5.100201880666541e-10	0.9972514	0.00035318566	-0.0010293431
